iter	Passed	Remaining
787	8458	2275
788	8467	2264
789	8476	2253
790	8486	2242
791	8495	2231
792	8506	2220
793	8515	2209
794	8524	2198
795	8533	2187
796	8543	2175
797	8553	2165
798	8562	2153
799	8572	2143
800	8583	2132
801	8596	2122
802	8607	2111
803	8618	2101
804	8627	2089
805	8638	2079
806	8647	2068
807	8658	2057
808	8668	2046
809	8678	2035
810	8688	2024
811	8697	2013
812	8707	2002
813	8717	1992
814	8728	1981
815	8739	1970
816	8748	1959
817	8759	1948
818	8770	1938
819	8779	1927
820	8789	1916
821	8799	1905
822	8809	1894
823	8820	1883
824	8832	1873
825	8841	1862
826	8851	1851
827	8860	1840
828	8874	1830
829	8883	1819
830	8899	1809
831	8911	1799
832	8920	1788
833	8930	1777
834	8943	1767
835	8956	1757
836	8967	1746
837	8975	1735
838	8986	1724
839	8998	1714
840	9007	1702
841	9016	1691
842	9031	1682
843	9039	1670
844	9054	1660
845	9065	1650
846	9076	1639
847	9092	1629
848	9102	1618
849	9112	1608
850	9123	1597
851	9134	1586
852	9146	1576
853	9162	1566
854	9173	1555
855	9184	1545
856	9196	1534
857	9206	1523
858	9215	1512
859	9223	1501
860	9233	1490
861	9243	1479
862	9256	1469
863	9268	1458
864	9277	1447
865	9287	1437
866	9297	1426
867	9306	1415
868	9315	1404
869	9324	1393
870	9334	1382
871	9343	1371
872	9366	1362
873	9375	1351
874	9385	1340
875	9395	1329
876	9404	1319
877	9413	1308
878	9423	1297
879	9433	1286
880	9445	1275
881	9454	1264
882	9464	1254
883	9473	1243
884	9483	1232
885	9493	1221
886	9501	1210
887	9513	1199
888	9522	1189
889	9533	1178
890	9542	1167
891	9552	1156
892	9565	1146
893	9576	1135
894	9584	1124
895	9595	1113
896	9606	1103
897	9614	1092
898	9624	1081
899	9634	1070
900	9648	1060
901	9659	1049
902	9670	1038
903	9681	1028
904	9691	1017
905	9701	1006
906	9712	995
907	9722	985
908	9731	974
909	9743	963
910	9756	953
911	9765	942
912	9775	931
913	9784	920
914	9795	909
915	9805	899
916	9813	888
917	9825	877
918	9835	866
919	9844	856
920	9858	845
921	9869	834
922	9879	824
923	9891	813
924	9902	802
925	9914	792
926	9925	781
927	9935	770
928	9945	760
929	9957	749
930	9969	738
931	9985	728
932	9995	717
933	10007	707
934	10019	696
935	10029	685
936	10042	675
937	10056	664
938	10066	653
939	10080	643
940	10093	632
941	10107	622
942	10120	611
943	10134	601
944	10149	590
945	10161	580
946	10172	569
947	10185	558
948	10195	547
949	10206	537
950	10216	526
951	10230	515
952	10245	505
953	10256	494
954	10266	483
955	10281	473
956	10289	462
957	10302	451
958	10313	440
959	10323	430
960	10336	419
961	10347	408
962	10360	398
963	10375	387
964	10384	376
965	10400	366
966	10410	355
967	10422	344
968	10436	333
969	10449	323
970	10463	312
971	10474	301
972	10483	290
973	10495	280
974	10508	269
975	10519	258
976	10530	247
977	10543	237
978	10554	226
979	10569	215
980	10581	204
981	10590	194
982	10601	183
983	10612	172
984	10621	161
985	10631	150
986	10641	140
987	10650	129
988	10659	118
989	10669	107
990	10682	97
991	10693	86
992	10701	75
993	10712	64
994	10722	53
995	10731	43
996	10742	32
997	10752	21
998	10763	10
999	10772	0
